Dayanand Bandodkar,20 December 1963,2 December 1966,
President's rule,2 December 1966,5 April 1967,
Dayanand Bandodkar [2],5 April 1967,12 August 1973,
Shashikala Kakodkar,12 August 1973,27 April 1979,
President's rule,27 April 1979,16 January 1980,
Pratapsingh Rane,16 January 1980,27 March 1990,
Churchill Alemao,27 March 1990,14 April 1990,
Dr. Luis Proto Barbosa,14 April 1990,14 December 1990,
President's rule,14 December 1990,25 January 1991,
Ravi S. Naik,25 January 1991,18 May 1993,
Dr Wilfred de Souza,18 May 1993,2 April 1994,
Ravi S. Naik [2],2 April 1994,8 April 1994,
Dr Wilfred de Souza [2],8 April 1994,16 December 1994,
Pratapsing Rane [2],16 December 1994,30 July 1998,
Dr Wilfred de Souza [3],30 July 1998,26 November 1998,
Luizinho Faleiro,26 November 1998,9 February 1999,
President's rule,9 February 1999,9 June 1999,
Luizinho Faleiro [2],9 June 1999,24 November 1999,
Francisco Sardinha,24 November 1999,24 October 2000,
Manohar Parrikar,24 October 2000,2 February 2005,
Pratapsing Rane [3],2 February 2005,4 March 2005,
President's rule,4 March 2005,7 June 2005,
Pratapsing Rane [4],7 June 2005,8 June 2007,
Digambar Kamat,8 June 2007,9 March 2012,
Manohar Parrikar[1],9 March 2012,Incumbent,
